	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Oscar_Luigi_Scalfaro>	<infobox/en/birthplace>	"Italy"
	<Oscar_Luigi_Scalfaro>	<infobox/en/birthplace>	"1861-##-##"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/birthplace>	"1946-##-##"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/children>	<Marianna_Scalfaro>
	<Oscar_Luigi_Scalfaro>	<infobox/en/children>	"Marianna Scalfaro"
	<Oscar_Luigi_Scalfaro>	<infobox/en/constituency>	<Former_President>
	<Oscar_Luigi_Scalfaro>	<infobox/en/constituency>	"Former President"
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"2012"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"1"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"29"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"1918"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"9"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"2012-01-29"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathdate>	"1918-09-09"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathplace>	<Rome>
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathplace>	<Italy>
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathplace>	"Rome"
	<Oscar_Luigi_Scalfaro>	<infobox/en/deathplace>	"Italy"
	<Oscar_Luigi_Scalfaro>	<infobox/en/image>	"3"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/name>	<Oscar_Luigi_Scalfaro>
	<Oscar_Luigi_Scalfaro>	<infobox/en/name>	"Oscar Luigi Scalfaro"
	<Oscar_Luigi_Scalfaro>	<infobox/en/nationality>	<Italians>
	<Oscar_Luigi_Scalfaro>	<infobox/en/nationality>	"Italian"
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	<Italian_Chamber_of_Deputies>
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"President of the Chamber of Deputies"
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	<Italian_Minister_of_Education>
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"Minister of Education"
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	<Italian_Senate>
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"Lifetime Senator"
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	<President_of_Italy>
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"9"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"9th"
	<Oscar_Luigi_Scalfaro>	<infobox/en/order>	"President of Italy"
	<Oscar_Luigi_Scalfaro>	<infobox/en/party>	<Christian_Democracy_(Italy)>
	<Oscar_Luigi_Scalfaro>	<infobox/en/party>	"Christian Democracy"
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	<Francesco_Cossiga>
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	"Francesco Cossiga"
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	<Leonilde_Iotti>
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	"Leonilde Iotti"
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	<Riccardo_Misasi>
	<Oscar_Luigi_Scalfaro>	<infobox/en/predecessor>	"Riccardo Misasi"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Giuliano_Amato>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Carlo_Azeglio_Ciampi>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Lamberto_Dini>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Romano_Prodi>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Massimo_D'Alema>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Giuliano Amato"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Carlo Azeglio Ciampi"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Lamberto Dini"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Romano Prodi"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Massimo D'Alema"
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	<Giulio_Andreotti>
	<Oscar_Luigi_Scalfaro>	<infobox/en/primeminister>	"Giulio Andreotti"
	<Oscar_Luigi_Scalfaro>	<infobox/en/religion>	<Roman_Catholic_Church>
	<Oscar_Luigi_Scalfaro>	<infobox/en/religion>	"Roman Catholicism"
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	<Maria_Inzitari>
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	"1924"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	"-1944"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	"Maria Inzitari"
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	"1924-##-##"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/spouse>	"1944-##-##"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	<Carlo_Azeglio_Ciampi>
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	"Carlo Azeglio Ciampi"
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	<Franco_Maria_Malfatti>
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	"Franco Maria Malfatti"
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	<Giorgio_Napolitano>
	<Oscar_Luigi_Scalfaro>	<infobox/en/successor>	"Giorgio Napolitano"
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"29"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"2012"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"2012-01-29"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"7"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1973"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1973-07-07"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"15"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1999"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1999-05-15"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"25"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1992"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termend>	"1992-05-25"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"24"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1992"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1992-04-24"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"26"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1972"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1972-07-26"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"19"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1999"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1999-05-19"^^xsd:date
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"28"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1992"^^xsd:integer
	<Oscar_Luigi_Scalfaro>	<infobox/en/termstart>	"1992-05-28"^^xsd:date
	<Roberto_Maroni>	<infobox/en/almamater>	<University_of_Milan>
	<Roberto_Maroni>	<infobox/en/almamater>	"University of Milan"
	<Roberto_Maroni>	<infobox/en/birthdate>	"1955"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/birthdate>	"3"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/birthdate>	"15"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/birthdate>	"1955-03-15"^^xsd:date
	<Roberto_Maroni>	<infobox/en/birthplace>	<Varese>
	<Roberto_Maroni>	<infobox/en/birthplace>	<Italy>
	<Roberto_Maroni>	<infobox/en/birthplace>	"Varese"
	<Roberto_Maroni>	<infobox/en/birthplace>	"Italy"
	<Roberto_Maroni>	<infobox/en/image>	"1"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/name>	<Roberto_Maroni>
	<Roberto_Maroni>	<infobox/en/name>	"Roberto Maroni"
	<Roberto_Maroni>	<infobox/en/office>	<Minister_of_Labour_and_Welfare>
	<Roberto_Maroni>	<infobox/en/office>	"Minister of Labour and Welfare"
	<Roberto_Maroni>	<infobox/en/office>	<Italian_Minister_of_the_Interior>
	<Roberto_Maroni>	<infobox/en/office>	"Minister of the Interior"
	<Roberto_Maroni>	<infobox/en/party>	<Lega_Nord>
	<Roberto_Maroni>	<infobox/en/party>	"Northern League"
	<Roberto_Maroni>	<infobox/en/predecessor>	<Carlo_Azeglio_Ciampi>
	<Roberto_Maroni>	<infobox/en/predecessor>	"Carlo Azeglio Ciampi"
	<Roberto_Maroni>	<infobox/en/predecessor>	<Cesare_Salvi>
	<Roberto_Maroni>	<infobox/en/predecessor>	"Cesare Salvi"
	<Roberto_Maroni>	<infobox/en/predecessor>	<Giuliano_Amato>
	<Roberto_Maroni>	<infobox/en/predecessor>	"Giuliano Amato"
	<Roberto_Maroni>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Roberto_Maroni>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Roberto_Maroni>	<infobox/en/successor>	<Anna_Maria_Cancellieri>
	<Roberto_Maroni>	<infobox/en/successor>	"Anna Maria Cancellieri"
	<Roberto_Maroni>	<infobox/en/successor>	<Antonio_Brancaccio>
	<Roberto_Maroni>	<infobox/en/successor>	"Antonio Brancaccio"
	<Roberto_Maroni>	<infobox/en/successor>	<Cesare_Damiano>
	<Roberto_Maroni>	<infobox/en/successor>	"Cesare Damiano"
	<Roberto_Maroni>	<infobox/en/termend>	"16"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"2011"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"16 November 2011"
	<Roberto_Maroni>	<infobox/en/termend>	"2011-11-16"^^xsd:date
	<Roberto_Maroni>	<infobox/en/termend>	"17"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"1995"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"17 January 1995"
	<Roberto_Maroni>	<infobox/en/termend>	"1995-01-17"^^xsd:date
	<Roberto_Maroni>	<infobox/en/termend>	"17"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"2006"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termend>	"17 May 2006"
	<Roberto_Maroni>	<infobox/en/termend>	"2006-05-17"^^xsd:date
	<Roberto_Maroni>	<infobox/en/termstart>	"11"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"2001"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"11 June 2001"
	<Roberto_Maroni>	<infobox/en/termstart>	"2001-06-11"^^xsd:date
	<Roberto_Maroni>	<infobox/en/termstart>	"5"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"1994"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"5 May 1994"
	<Roberto_Maroni>	<infobox/en/termstart>	"1994-05-05"^^xsd:date
	<Roberto_Maroni>	<infobox/en/termstart>	"8"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Roberto_Maroni>	<infobox/en/termstart>	"8 May 2008"
	<Roberto_Maroni>	<infobox/en/termstart>	"2008-05-08"^^xsd:date
	<Romano_Prodi>	<infobox/en/almamater>	<Università_Cattolica_del_Sacro_Cuore>
	<Romano_Prodi>	<infobox/en/almamater>	<London_School_of_Economics>
	<Romano_Prodi>	<infobox/en/almamater>	"Catholic University of the Sacred Heart"
	<Romano_Prodi>	<infobox/en/almamater>	"London School of Economics"
	<Romano_Prodi>	<infobox/en/birthdate>	"1939"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthdate>	"8"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthdate>	"9"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthdate>	"70"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthdate>	"1939-08-09"^^xsd:date
	<Romano_Prodi>	<infobox/en/birthplace>	<Scandiano>
	<Romano_Prodi>	<infobox/en/birthplace>	<Kingdom_of_Italy_(1861–1946)>
	<Romano_Prodi>	<infobox/en/birthplace>	"1861"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthplace>	"1946"^^xsd:integer
	<Romano_Prodi>	<infobox/en/birthplace>	"Scandiano"
	<Romano_Prodi>	<infobox/en/birthplace>	"Italy"
	<Romano_Prodi>	<infobox/en/birthplace>	"1861-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/birthplace>	"1946-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/children>	<Giorgio_Prodi>
	<Romano_Prodi>	<infobox/en/children>	<Antonio_Prodi>
	<Romano_Prodi>	<infobox/en/children>	"Giorgio Prodi"
	<Romano_Prodi>	<infobox/en/children>	"Antonio Prodi"
	<Romano_Prodi>	<infobox/en/deputy>	<Massimo_D'Alema>
	<Romano_Prodi>	<infobox/en/deputy>	<Francesco_Rutelli>
	<Romano_Prodi>	<infobox/en/deputy>	"Massimo D'Alema"
	<Romano_Prodi>	<infobox/en/deputy>	"Francesco Rutelli"
	<Romano_Prodi>	<infobox/en/deputy>	<Walter_Veltroni>
	<Romano_Prodi>	<infobox/en/deputy>	"Walter Veltroni"
	<Romano_Prodi>	<infobox/en/image>	"2"^^xsd:integer
	<Romano_Prodi>	<infobox/en/name>	<Romano_Prodi>
	<Romano_Prodi>	<infobox/en/name>	"Romano Prodi"
	<Romano_Prodi>	<infobox/en/office>	<Institute_for_Industrial_Reconstruction>
	<Romano_Prodi>	<infobox/en/office>	"Institute for Industrial Reconstruction"
	<Romano_Prodi>	<infobox/en/office>	<Italian_Chamber_of_Deputies>
	<Romano_Prodi>	<infobox/en/office>	"Member of the Italian Chamber of Deputies"
	<Romano_Prodi>	<infobox/en/office>	<Italian_Minister_of_Economic_Development>
	<Romano_Prodi>	<infobox/en/office>	"Minister of Industry, Commerce and Craftsmanship"
	<Romano_Prodi>	<infobox/en/office>	<Italian_Minister_of_Justice>
	<Romano_Prodi>	<infobox/en/office>	"Minister of Justice"
	<Romano_Prodi>	<infobox/en/office>	<President_of_the_European_Commission>
	<Romano_Prodi>	<infobox/en/office>	"President of the European Commission"
	<Romano_Prodi>	<infobox/en/office>	<Prime_Minister_of_Italy>
	<Romano_Prodi>	<infobox/en/office>	"Prime Minister of Italy"
	<Romano_Prodi>	<infobox/en/otherparty>	<Christian_Democracy_(Italy)>
	<Romano_Prodi>	<infobox/en/otherparty>	<The_Olive_Tree_(political_coalition)>
	<Romano_Prodi>	<infobox/en/otherparty>	<The_Union_(political_coalition)>
	<Romano_Prodi>	<infobox/en/otherparty>	"Christian Democracy"
	<Romano_Prodi>	<infobox/en/otherparty>	"The Olive Tree"
	<Romano_Prodi>	<infobox/en/otherparty>	"The Union"
	<Romano_Prodi>	<infobox/en/party>	<Democratic_Party_(Italy)>
	<Romano_Prodi>	<infobox/en/party>	"Democratic Party"
	<Romano_Prodi>	<infobox/en/predecessor>	<Franco_Nobili>
	<Romano_Prodi>	<infobox/en/predecessor>	"Franco Nobili"
	<Romano_Prodi>	<infobox/en/predecessor>	<Pietro_Sette>
	<Romano_Prodi>	<infobox/en/predecessor>	"Pietro Sette"
	<Romano_Prodi>	<infobox/en/predecessor>	<Clemente_Mastella>
	<Romano_Prodi>	<infobox/en/predecessor>	"Clemente Mastella"
	<Romano_Prodi>	<infobox/en/predecessor>	<Lamberto_Dini>
	<Romano_Prodi>	<infobox/en/predecessor>	"Lamberto Dini"
	<Romano_Prodi>	<infobox/en/predecessor>	<Manuel_Marin>
	<Romano_Prodi>	<infobox/en/predecessor>	"Manuel Marin"
	<Romano_Prodi>	<infobox/en/predecessor>	<Silvio_Berlusconi>
	<Romano_Prodi>	<infobox/en/predecessor>	"Silvio Berlusconi"
	<Romano_Prodi>	<infobox/en/president>	<Giorgio_Napolitano>
	<Romano_Prodi>	<infobox/en/president>	"Giorgio Napolitano"
	<Romano_Prodi>	<infobox/en/president>	<Oscar_Luigi_Scalfaro>
	<Romano_Prodi>	<infobox/en/president>	"Oscar Luigi Scalfaro"
	<Romano_Prodi>	<infobox/en/primeminister>	<Giulio_Andreotti>
	<Romano_Prodi>	<infobox/en/primeminister>	"Giulio Andreotti"
	<Romano_Prodi>	<infobox/en/profession>	<wordnet_economist_110043643>
	<Romano_Prodi>	<infobox/en/profession>	<wordnet_professor_110480730>
	<Romano_Prodi>	<infobox/en/profession>	"Economist"
	<Romano_Prodi>	<infobox/en/profession>	"Professor"
	<Romano_Prodi>	<infobox/en/religion>	<Roman_Catholicism>
	<Romano_Prodi>	<infobox/en/religion>	"Roman Catholicism"
	<Romano_Prodi>	<infobox/en/spouse>	<Flavia_Franzoni>
	<Romano_Prodi>	<infobox/en/spouse>	"Flavia Franzoni"
	<Romano_Prodi>	<infobox/en/successor>	<Franco_Nicolazzi>
	<Romano_Prodi>	<infobox/en/successor>	"Franco Nicolazzi"
	<Romano_Prodi>	<infobox/en/successor>	<Franco_Nobili>
	<Romano_Prodi>	<infobox/en/successor>	"Franco Nobili"
	<Romano_Prodi>	<infobox/en/successor>	<Michele_Tedeschi>
	<Romano_Prodi>	<infobox/en/successor>	"Michele Tedeschi"
	<Romano_Prodi>	<infobox/en/successor>	<José_Manuel_Barroso>
	<Romano_Prodi>	<infobox/en/successor>	"José Manuel Barroso"
	<Romano_Prodi>	<infobox/en/successor>	<Luigi_Scotti>
	<Romano_Prodi>	<infobox/en/successor>	"Luigi Scotti"
	<Romano_Prodi>	<infobox/en/successor>	<Massimo_D'Alema>
	<Romano_Prodi>	<infobox/en/successor>	"Massimo D'Alema"
	<Romano_Prodi>	<infobox/en/successor>	<Silvio_Berlusconi>
	<Romano_Prodi>	<infobox/en/successor>	"Silvio Berlusconi"
	<Romano_Prodi>	<infobox/en/termend>	"14"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"2008"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"14 April 2008"
	<Romano_Prodi>	<infobox/en/termend>	"2008-04-14"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"16"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"1999"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"16 September 1999"
	<Romano_Prodi>	<infobox/en/termend>	"1999-09-16"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"1989"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"1989"
	<Romano_Prodi>	<infobox/en/termend>	"1989-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"1994"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"1994"
	<Romano_Prodi>	<infobox/en/termend>	"1994-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"20"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"1979"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"20 March 1979"
	<Romano_Prodi>	<infobox/en/termend>	"1979-03-20"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"21"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"1998"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"21 October 1998"
	<Romano_Prodi>	<infobox/en/termend>	"1998-10-21"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"30"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"2004"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"30 October 2004"
	<Romano_Prodi>	<infobox/en/termend>	"2004-10-30"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"6"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"2008"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"6 February 2008"
	<Romano_Prodi>	<infobox/en/termend>	"2008-02-06"^^xsd:date
	<Romano_Prodi>	<infobox/en/termend>	"8"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"2008"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termend>	"8 May 2008"
	<Romano_Prodi>	<infobox/en/termend>	"2008-05-08"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"16"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1999"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"16 September 1999"
	<Romano_Prodi>	<infobox/en/termstart>	"1999-09-16"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"17"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"17 January 2008"
	<Romano_Prodi>	<infobox/en/termstart>	"2008-01-17"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"17"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1996"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"17 May 1996"
	<Romano_Prodi>	<infobox/en/termstart>	"1996-05-17"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"17"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"17 May 2006"
	<Romano_Prodi>	<infobox/en/termstart>	"2006-05-17"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"1982"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1982"
	<Romano_Prodi>	<infobox/en/termstart>	"1982-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"1993"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1993"
	<Romano_Prodi>	<infobox/en/termstart>	"1993-##-##"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"21"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"21 April 2006"
	<Romano_Prodi>	<infobox/en/termstart>	"2006-04-21"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"25"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1978"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"25 November 1978"
	<Romano_Prodi>	<infobox/en/termstart>	"1978-11-25"^^xsd:date
	<Romano_Prodi>	<infobox/en/termstart>	"27"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"1996"^^xsd:integer
	<Romano_Prodi>	<infobox/en/termstart>	"27 April 1996"
	<Romano_Prodi>	<infobox/en/termstart>	"1996-04-27"^^xsd:date
	<Romano_Prodi>	<infobox/en/vicepresident>	<Neil_Kinnock>
	<Romano_Prodi>	<infobox/en/vicepresident>	"Neil Kinnock"
	<Silvio_Berlusconi>	<infobox/en/almamater>	<University_of_Milan>
	<Silvio_Berlusconi>	<infobox/en/almamater>	"University of Milan"
	<Silvio_Berlusconi>	<infobox/en/birthdate>	"1936"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/birthdate>	"9"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/birthdate>	"29"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/birthdate>	"1936-09-29"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/birthplace>	<Milan>
	<Silvio_Berlusconi>	<infobox/en/birthplace>	<Kingdom_of_Italy_(1861–1946)>
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"1861"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"1946"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"Milan"
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"Italy"
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"1861-##-##"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/birthplace>	"1946-##-##"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/children>	<Marina_Berlusconi>
	<Silvio_Berlusconi>	<infobox/en/children>	<Pier_Silvio_Berlusconi>
	<Silvio_Berlusconi>	<infobox/en/children>	"Marina"
	<Silvio_Berlusconi>	<infobox/en/children>	"Pier Silvio"
	<Silvio_Berlusconi>	<infobox/en/children>	"Barbara"
	<Silvio_Berlusconi>	<infobox/en/children>	"Eleonora"
	<Silvio_Berlusconi>	<infobox/en/children>	"Luigi"
	<Silvio_Berlusconi>	<infobox/en/constituency>	<Lazio>
	<Silvio_Berlusconi>	<infobox/en/constituency>	<Lombardy>
	<Silvio_Berlusconi>	<infobox/en/constituency>	<Campania>
	<Silvio_Berlusconi>	<infobox/en/constituency>	<Molise>
	<Silvio_Berlusconi>	<infobox/en/constituency>	"Lazio"
	<Silvio_Berlusconi>	<infobox/en/constituency>	"Lombardy"
	<Silvio_Berlusconi>	<infobox/en/constituency>	"Campania"
	<Silvio_Berlusconi>	<infobox/en/constituency>	"Molise"
	<Silvio_Berlusconi>	<infobox/en/deputy>	<Berlusconi_I_Cabinet>
	<Silvio_Berlusconi>	<infobox/en/deputy>	<Roberto_Maroni>
	<Silvio_Berlusconi>	<infobox/en/deputy>	"Giuseppe Tatarella"
	<Silvio_Berlusconi>	<infobox/en/deputy>	"Roberto Maroni"
	<Silvio_Berlusconi>	<infobox/en/deputy>	<Giulio_Tremonti>
	<Silvio_Berlusconi>	<infobox/en/deputy>	<Gianfranco_Fini>
	<Silvio_Berlusconi>	<infobox/en/deputy>	<Marco_Follini>
	<Silvio_Berlusconi>	<infobox/en/deputy>	"Giulio Tremonti"
	<Silvio_Berlusconi>	<infobox/en/deputy>	"Gianfranco Fini"
	<Silvio_Berlusconi>	<infobox/en/deputy>	"Marco Follini"
	<Silvio_Berlusconi>	<infobox/en/image>	"2010"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/image>	"2010-##-##"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/name>	<Silvio_Berlusconi>
	<Silvio_Berlusconi>	<infobox/en/name>	"Silvio Berlusconi"
	<Silvio_Berlusconi>	<infobox/en/office>	<Italian_Chamber_of_Deputies>
	<Silvio_Berlusconi>	<infobox/en/office>	"Member of the Chamber of Deputies"
	<Silvio_Berlusconi>	<infobox/en/office>	<Prime_Minister_of_Italy>
	<Silvio_Berlusconi>	<infobox/en/office>	"Prime Minister of Italy"
	<Silvio_Berlusconi>	<infobox/en/otherparty>	<Forza_Italia>
	<Silvio_Berlusconi>	<infobox/en/otherparty>	"Forza Italia"
